Period,Start Date,End Date,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%),Omega Ratio,VaR 95%,CVaR 95%,Total Return,Num Trades
1,2022-06-24,2022-07-01,-0.20870290188983226,-0.2023163943731051,-0.7071041928318658,227.08279999999993,23.333333333333332,0.4309496977042534,-2789.2,-4037.9000000000005,-16057.119999999997,60
2,2022-07-01,2022-07-08,0.27506483605182364,0.5287582613989041,2.0853491357738125,14.89873283666929,46.15384615384615,2.1545087299420143,-655.19,-655.19,5750.099999999997,26
3,2022-07-08,2022-07-15,0.17370093896403085,0.09804596929234564,0.8550444854792681,16.390826420130146,81.81818181818183,1.5673707514724518,-953.12,-953.12,1629.92,22
4,2022-07-15,2022-07-22,-0.10229435524159651,-0.08449635394727925,-0.3681158587632759,87.28682115006431,52.63157894736842,0.7736917726397161,-1850.96,-1850.96,-3588.040000000001,38
5,2022-07-22,2022-07-29,0.3208033849194951,0.4354104096792448,1.8056182431706322,18.56056274350757,58.333333333333336,2.33277983722984,-885.67,-885.67,5040.6,24
6,2022-07-29,2022-08-05,1.2350350623149307,3.4669953998361582,24.268967798853094,1.2593202614742167,85.71428571428571,25.268967798853108,-90.68,-90.68,4401.42,14
7,2022-08-05,2022-08-12,-0.08510055594521612,-0.05431395598608798,-0.27780498114597335,39.48569983788688,71.42857142857143,0.7722120607946961,-2418.93,-2418.93,-1327.5800000000004,14
8,2022-08-12,2022-08-19,0.0741137427792585,0.0628517344856426,0.3075756022552539,20.082297274818877,57.14285714285714,1.2153096313816445,-1460.87,-1460.87,750.1000000000004,14
9,2022-08-19,2022-08-26,1.7125492889936416,0,0,0,100,0,134.55,134.55,6172.9,10
10,2022-08-26,2022-09-02,-0.15786676484637352,-0.15514126830313682,-0.3197034985440765,64.7012,44.44444444444444,0.7143101800443067,-961.23,-961.23,-2068.5200000000004,18
11,2022-09-02,2022-09-09,-0.26293375482589143,-0.14210894461047902,-0.6311395670596374,51.333915333737764,71.42857142857143,0.4595000725113936,-2309.64,-2309.64,-3503.38,14
12,2022-09-09,2022-09-16,0.22077865896367896,0.12235689293568298,0.7120285942004049,37.589994760341725,81.81818181818183,1.6738673897295822,-1582.75,-1582.75,4055.8999999999987,22
13,2022-09-16,2022-09-23,-0.23206832691410148,-0.17261634002818946,-0.9618485189351331,53.34000000000001,54.54545454545454,0.5354608901621473,-2310.32,-2310.32,-5130.500000000001,22
14,2022-09-23,2022-09-30,-0.041143136524606785,-0.0318870592853876,-0.12592672763677668,73.91599999999998,61.53846153846154,0.8977291206110762,-2059.24,-2059.24,-930.7999999999981,26
15,2022-09-30,2022-10-07,0.25232618191448214,0.2304253010178598,0.7970439032163821,13.446329499534837,66.66666666666666,1.7913584641957732,-590.53,-590.53,1200.38,12
16,2022-10-07,2022-10-14,1.024732663402684,6.099005949993107,29.344654829440906,1.510973566590035,75,30.3446548294408,-113.23,-113.23,7965.900000000002,16
17,2022-10-14,2022-10-21,0,-1,-1,0.0336,0,0,-1.68,-1.68,-3.36,2
18,2022-10-21,2022-10-28,-1.3773905480593485,-0.7251739607966413,-0.9669978627100106,43.7002,20,0.03300213728998952,-782.95,-782.95,-4225.800000000001,10
19,2022-10-28,2022-11-04,0.7108532237185746,2.458451146716934,4.916902293433868,2.263056299124425,50,5.916902293433868,-127.32,-127.32,1252.04,4
20,2022-11-04,2022-11-11,0.0966017331530817,0.10005696411706458,1.2657714993439526,39.36427485337775,62.16216216216216,1.3402363470237748,-2399.74,-2405.415,10322.240000000002,74
21,2022-11-11,2022-11-18,0.31980653212696686,0.34742203658840975,1.4304166977845172,27.960858121585687,66.66666666666666,2.425487163224759,-1738.88,-1738.88,8810.480000000001,24
22,2022-11-18,2022-11-25,0.7170216190341353,0.5993301548524371,2.996650774262186,4.405678654010401,80,3.9966507742621857,-253.79,-253.79,1521.0400000000002,10
23,2022-11-25,2022-12-02,-0.014537120574215625,-0.014446682925694882,-0.03700519628914208,35.817925625939125,50,0.9629948037108579,-1654.25,-1654.25,-136.01999999999953,8
24,2022-12-09,2022-12-16,-0.250315103508435,-0.2076708807653705,-0.48460895282040173,22.797848813299655,40,0.5153910471795984,-1012.7,-1012.7,-1251.9,10
25,2022-12-16,2022-12-23,0.15540574132334128,0.25471795361950467,0.5601011863224005,9.724731730075922,33.33333333333333,1.4400115125267254,-573.2,-573.2,642.0999999999999,6
26,2022-12-23,2022-12-30,0,-1,-1,1.5544,0,0,-77.72,-77.72,-155.44,2
27,2022-12-30,2023-01-06,0,0,0,0,100,0,236.43,236.43,472.86,2
28,2023-01-06,2023-01-13,-0.5697530389130641,-0.4132139336509115,-0.7072471657797678,70.2145510977922,40,0.2927528342202321,-1438.13,-1438.13,-5196.64,10
29,2023-01-13,2023-01-20,0.1111312108901746,0.11056751086810933,0.44655188038060717,33.92227234650825,60,1.295540828260413,-1256.65,-1256.65,1971.0800000000002,20
30,2023-01-20,2023-01-27,0.17566816423519563,0.26328396777814433,1.095040555440324,13.239111332076911,42.857142857142854,1.6292555627348517,-909.02,-909.02,2006.1799999999998,14
